Participant,Stimulus,Trial,Time,Gaze_x,Gaze_y,Type,Target_TopLeft_x,Target_TopLeft_y,Target_BottomRight_x,Target_BottomRight_y
S001,Male_014_v,46.0,0.102,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Male_014_v,46.0,0.148,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Male_014_v,46.0,0.211,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Male_014_v,46.0,0.317,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Male_014_v,46.0,0.398,452.0,264.0,Fixation Cross,434.66668701171875,230.5833282470703,434.66668701171875,230.5833282470703
S001,Male_014_v,46.0,-0.119,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.002,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.072,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.142,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.21,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.27,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.331,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.395,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.449,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.518,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.583,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.65,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.708,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.767,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.822,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
S001,Male_014_v,46.0,0.878,452.0,264.0,Image,297.66668701171875,54.5,571.6666870117188,420.5
