Participant,Item,Order1,RT1,Condition,Duration1,ISI1,Cue_Color,Cue_Duration,Arousal,Valence,Enticement,Order2,RT2,Duration2,ISI2,Realness,Type,Category,Orientation,Norms_Arousal,Norms_Valence,Luminance,Contrast,Entropy,Complexity,Red,Green
S115,People_172_v,8,6.5540999999642375,AI-Generated,2500.0,500.0,red,1250.0,0.0,0.34,0.0,9,1.2771000000238422,1000.0,500.0,1.0,Non-erotic,People,v,4.35,7.15,49.9957,56.3597,7.6186,359216,-8.8494,0.6884
S115,Female_013_h,9,19.271200000047685,AI-Generated,2500.0,500.0,red,1250.0,0.09,0.02,0.19,17,2.4774000000357628,1000.0,500.0,0.68,Erotic,Female,h,5.5,6.85,21.5101,68.6277,4.6639,137297,3.4277,3.1779
S115,Female_019_h,10,12.437199999988081,Photograph,2500.0,500.0,blue,1250.0,0.22,0.62,0.87,35,1.5119000000357627,1000.0,500.0,1.0,Erotic,Female,h,5.0,6.4,48.6266,36.3153,7.1507,254048,23.4717,33.9492
S115,Male_012_h,11,7.355100000023842,Photograph,2500.0,500.0,blue,1250.0,0.0,-0.26,0.0,12,3.059900000035763,1000.0,500.0,0.78,Erotic,Male,h,2.95,3.55,76.3947,43.9723,7.2393,331233,4.1326,8.2885
S115,Female_015_v,12,14.118599999964236,Photograph,2500.0,500.0,blue,1250.0,0.04,0.44,0.23,46,1.875699999988079,1000.0,500.0,0.91,Erotic,Female,v,5.55,7.3,65.2389,53.402,7.5418,171124,8.0169,14.7847
S115,Female_018_h,13,22.68769999998808,Photograph,2500.0,500.0,blue,1250.0,0.89,0.9,0.99,40,2.460399999976158,1000.0,500.0,0.96,Erotic,Female,h,6.5,7.45,73.3265,38.1936,6.9748,275330,3.457,12.5327
S115,Faces_349_h,14,6.1231999999880795,Photograph,2500.0,500.0,blue,1250.0,0.0,0.02,0.0,49,1.895300000011921,1000.0,500.0,1.0,Non-erotic,Faces,h,2.75,5.65,30.7027,59.0963,7.5596,215553,0.697,0.5981
S115,Female_023_h,15,10.253100000023842,AI-Generated,2500.0,500.0,red,1250.0,0.0,0.0,0.0,53,1.7105,1000.0,500.0,0.99,Erotic,Female,h,5.4,6.85,20.4158,63.53,6.0347,214797,1.8632,7.0814
S115,Male_013_v,16,5.851099999964237,Photograph,2500.0,500.0,blue,1250.0,0.0,-1.0,0.0,18,2.346,1000.0,500.0,0.92,Erotic,Male,v,3.75,3.7,44.0686,86.7349,7.4514,293448,11.5375,24.8859
S115,Female_020_v,17,6.969600000023842,AI-Generated,2500.0,500.0,red,1250.0,0.87,0.58,0.96,45,1.5762000000476835,1000.0,500.0,1.0,Erotic,Female,v,6.2,7.35,50.7307,36.7955,7.0191,173444,4.4367,4.5166
S115,Male_009_v,18,6.651899999976158,Photograph,2500.0,500.0,blue,1250.0,0.0,-0.96,0.0,55,1.6081999999880792,1000.0,500.0,0.98,Erotic,Male,v,2.85,4.45,43.2111,60.8704,7.489,271374,13.4711,15.6762
S115,People_132_h,19,5.102300000011921,AI-Generated,2500.0,500.0,red,1250.0,0.0,0.0,0.0,32,1.4760999999642372,1000.0,500.0,1.0,Non-erotic,People,h,3.5,4.9,46.8945,57.9992,7.5629,211838,-2.9026,11.8506
S115,Female_022_h,20,6.120799999952316,AI-Generated,2500.0,500.0,red,1250.0,0.0,-1.0,0.0,1,3.6245,1000.0,500.0,0.0,Erotic,Female,h,6.1,7.05,56.5834,63.7769,7.3921,216160,15.4662,4.3765
S115,People_190_h,21,4.902300000011921,AI-Generated,2500.0,500.0,red,1250.0,0.0,1.0,0.0,22,2.8435,1000.0,500.0,1.0,Non-erotic,People,h,5.0,7.6,43.0061,55.7373,7.6983,385125,-0.7026,-13.3812
S115,Male_014_v,22,4.8405,Photograph,2500.0,500.0,blue,1250.0,0.0,-1.0,0.0,52,1.6755,1000.0,500.0,0.86,Erotic,Male,v,3.95,3.6,73.0604,48.9227,7.2601,151861,3.9097,2.0474
S115,Faces_328_v,23,8.569,Photograph,2500.0,500.0,blue,1250.0,0.0,-0.48,0.0,15,2.5585,1000.0,500.0,0.7,Non-erotic,Faces,v,2.7,4.85,35.5883,57.6711,7.3988,171031,-0.3112,-1.7416
S115,Male_007_h,24,4.8395,AI-Generated,2500.0,500.0,red,1250.0,0.0,-1.0,0.0,16,9.0955,1000.0,500.0,0.93,Erotic,Male,h,4.05,3.3,50.1922,54.4775,7.6965,469938,3.1066,14.9059
S115,Female_021_h,25,9.737,Photograph,2500.0,500.0,blue,1250.0,0.0,-0.7,0.1,48,2.826399999976158,1000.0,500.0,0.73,Erotic,Female,h,6.3,7.1,62.5048,59.7605,7.3816,237825,8.8278,10.335
S115,Female_004_v,26,8.185900000035764,AI-Generated,2500.0,500.0,red,1250.0,0.56,0.74,0.89,27,1.942699999988079,1000.0,500.0,1.0,Erotic,Female,v,5.8,7.25,66.2497,74.0566,6.894,218444,2.2245,-3.4638
S115,Female_008_v,27,11.386,Photograph,2500.0,500.0,blue,1250.0,0.54,0.36,0.72,10,3.1143000000119208,1000.0,500.0,1.0,Erotic,Female,v,4.7,6.4,52.8173,72.8334,7.4938,155798,1.2756,4.492
S115,People_116_h,28,6.537800000011921,Photograph,2500.0,500.0,blue,1250.0,0.0,0.44,0.0,47,1.843199999988079,1000.0,500.0,1.0,Non-erotic,People,h,3.95,6.55,36.0174,75.2758,7.6169,324300,-0.8448,-1.976
S115,Female_001_h,29,16.503300000011922,Photograph,2500.0,500.0,blue,1250.0,0.19,0.06,0.67,24,1.5601999999880791,1000.0,500.0,1.0,Erotic,Female,h,5.3,6.9,58.36,49.2428,7.2143,249227,27.1818,10.7039
S115,Female_005_v,30,18.953399999976163,Photograph,2500.0,500.0,blue,1250.0,0.64,0.0,0.85,33,1.3437000000476835,1000.0,500.0,1.0,Erotic,Female,v,5.6,6.25,44.8525,70.3649,7.6863,270082,11.7249,10.9722
S115,Male_011_v,31,14.770300000011918,AI-Generated,2500.0,500.0,red,1250.0,0.0,-0.68,0.0,20,2.493400000035763,1000.0,500.0,0.91,Erotic,Male,v,3.15,4.6,40.2007,66.7949,7.44,265717,8.1808,11.1864
S115,Male_022_v,32,5.902599999964237,AI-Generated,2500.0,500.0,red,1250.0,0.0,-1.0,0.0,30,3.742300000011921,1000.0,500.0,1.0,Erotic,Male,v,5.15,3.1,43.1253,52.5585,7.6091,257785,2.6258,12.346
S115,Faces_330_v,33,6.554400000035763,AI-Generated,2500.0,500.0,red,1250.0,0.0,-0.42,0.0,39,1.8275999999642367,1000.0,500.0,1.0,Non-erotic,Faces,v,4.45,6.35,30.0082,41.7458,7.2395,325837,-0.4702,0.9357
S115,Male_001_v,34,6.338100000023842,AI-Generated,2500.0,500.0,red,1250.0,0.0,-1.0,0.0,44,3.9585,1000.0,500.0,0.98,Erotic,Male,v,3.7,4.25,60.0397,72.0716,7.7395,265152,4.5447,6.449
S115,Faces_351_h,35,6.454,Photograph,2500.0,500.0,blue,1250.0,0.0,0.0,0.0,50,2.9453000000119207,1000.0,500.0,1.0,Non-erotic,Faces,h,4.5,7.1,35.4262,73.7229,7.3716,170646,2.8311,6.4751
S115,Faces_184_h,36,5.421300000011921,Photograph,2500.0,500.0,blue,1250.0,0.0,-0.02,0.0,4,2.291700000047684,1000.0,500.0,1.0,Non-erotic,Faces,h,2.45,5.6,33.5125,62.699,7.5512,186474,11.1965,23.2193
S115,Male_025_v,37,3.769699999988079,Photograph,2500.0,500.0,blue,1250.0,0.0,-1.0,0.0,8,2.4428000000119208,1000.0,500.0,1.0,Erotic,Male,v,3.55,3.45,29.0652,60.357,6.8769,267633,2.7805,-0.966
S115,Female_006_v,38,14.2525,AI-Generated,2500.0,500.0,red,1250.0,0.0,-0.66,0.27,51,4.993300000011921,1000.0,500.0,0.36,Erotic,Female,v,5.7,7.1,63.1318,63.865,7.7492,186016,2.4502,14.6292
S115,Female_003_v,39,11.921,Photograph,2500.0,500.0,blue,1250.0,0.56,0.42,0.86,59,1.394800000011921,1000.0,500.0,0.99,Erotic,Female,v,5.1,7.0,71.1543,54.6216,7.4449,118707,7.0815,2.7069
S115,Male_006_v,40,7.138700000047684,AI-Generated,2500.0,500.0,red,1250.0,0.0,-1.0,0.0,11,1.79,1000.0,500.0,1.0,Erotic,Male,v,4.8,2.95,26.1872,40.1914,7.0614,206880,7.5483,10.2363
S115,People_146_h,41,5.204599999964238,Photograph,2500.0,500.0,blue,1250.0,0.0,-1.0,0.0,6,2.077699999988079,1000.0,500.0,1.0,Non-erotic,People,h,2.35,4.65,49.0548,56.7789,7.6988,343985,-1.4558,4.264
S115,Faces_335_h,42,4.751699999988079,AI-Generated,2500.0,500.0,red,1250.0,0.0,-1.0,0.0,14,2.146800000011921,1000.0,500.0,1.0,Non-erotic,Faces,h,2.5,5.55,38.8455,76.9787,7.6725,194229,0.9408,3.6752
